speed,distance_to_next_car,road_grade,acc_action
87,98,-0.08,decelerate
63,85,-0.3,accelerate
74,11,-0.26,accelerate
88,72,0.16,accelerate
72,49,-0.23,accelerate
83,29,0.19,accelerate
63,27,-0.19,accelerate
46,98,0.07,decelerate
80,93,0.08,decelerate
95,66,0.08,decelerate
98,6,-0.11,maintain
100,50,0.1,decelerate
78,48,-0.09,maintain
92,23,0.25,accelerate
66,10,0.2,maintain
63,65,0.22,maintain
65,82,0.26,decelerate
57,44,-0.29,decelerate
47,70,-0.12,maintain
67,7,-0.27,decelerate
58,52,0.02,maintain
95,95,-0.09,accelerate
52,85,0.1,decelerate
91,82,0.13,maintain
92,85,0.26,decelerate
56,83,-0.02,accelerate
98,33,0.07,decelerate
70,45,-0.27,maintain
51,35,-0.27,maintain
52,79,0.0,accelerate
96,46,-0.05,maintain
73,76,-0.26,accelerate
59,70,-0.02,decelerate
51,87,-0.0,maintain
82,74,-0.19,maintain
62,93,0.23,maintain
47,94,0.15,maintain
54,35,0.15,maintain
40,60,0.03,maintain
86,37,-0.17,maintain
46,40,0.2,decelerate
89,25,-0.0,decelerate
59,79,-0.03,decelerate
55,31,-0.08,maintain
96,90,-0.01,maintain
45,64,0.07,accelerate
56,19,0.14,maintain
76,78,0.14,maintain
76,6,-0.17,decelerate
40,69,-0.2,maintain
50,80,-0.29,maintain
77,29,0.14,maintain
60,66,-0.03,accelerate
97,56,0.12,accelerate
49,59,0.0,accelerate
100,15,-0.18,accelerate
54,45,0.08,accelerate
90,64,0.24,maintain
59,20,-0.01,decelerate
53,10,0.01,decelerate
48,14,-0.2,maintain
79,91,0.1,maintain
84,63,-0.02,accelerate
69,81,-0.11,maintain
88,45,-0.14,decelerate
63,98,-0.21,maintain
61,76,0.04,decelerate
79,51,0.11,accelerate
50,17,-0.29,decelerate
42,96,-0.24,maintain
54,7,-0.21,accelerate
68,19,0.0,accelerate
80,18,-0.23,maintain
42,38,0.27,maintain
92,68,-0.22,decelerate
59,53,-0.01,maintain
67,22,-0.15,maintain
81,39,0.12,decelerate
96,56,0.18,decelerate
68,38,-0.03,decelerate
89,57,-0.1,accelerate
42,76,-0.16,decelerate
94,85,0.1,decelerate
64,65,-0.25,accelerate
81,79,0.15,decelerate
68,50,0.25,maintain
61,57,-0.15,maintain
84,35,-0.21,decelerate
63,92,-0.03,decelerate
54,29,0.11,maintain
43,29,0.11,maintain
53,73,-0.19,maintain
74,26,0.13,decelerate
74,69,-0.08,decelerate
50,19,0.2,maintain
77,66,0.12,accelerate
88,44,0.23,maintain
53,60,-0.19,decelerate
70,51,-0.04,decelerate
94,11,-0.16,decelerate
73,92,-0.09,accelerate
79,58,-0.04,decelerate
66,52,0.06,accelerate
58,71,-0.08,maintain
63,95,-0.07,accelerate
87,21,0.22,decelerate
72,90,0.13,maintain
94,100,0.2,decelerate
56,55,-0.19,decelerate
40,52,0.01,maintain
100,57,-0.04,accelerate
90,58,-0.04,maintain
51,75,-0.02,decelerate
84,20,-0.2,decelerate
76,28,0.03,decelerate
40,87,0.22,decelerate
79,13,0.11,accelerate
67,48,-0.03,maintain
65,58,-0.17,accelerate
88,94,0.22,accelerate
62,24,0.23,maintain
65,76,0.06,decelerate
43,30,-0.19,maintain
54,49,0.03,decelerate
55,88,-0.06,maintain
58,41,-0.02,accelerate
82,58,-0.2,accelerate
74,84,-0.12,maintain
89,31,-0.14,decelerate
83,12,-0.18,maintain
43,35,0.05,decelerate
93,74,-0.04,decelerate
51,68,-0.07,maintain
80,58,-0.2,decelerate
88,47,0.27,accelerate
49,7,0.29,accelerate
53,75,0.03,decelerate
58,39,0.22,accelerate
73,51,-0.1,maintain
74,91,0.04,maintain
93,36,0.1,decelerate
53,40,0.19,accelerate
99,49,-0.04,accelerate
53,29,-0.26,maintain
97,98,0.06,maintain
46,80,0.18,maintain
82,50,0.2,decelerate
83,50,0.17,decelerate
66,63,0.03,decelerate
74,97,-0.13,maintain
94,87,-0.3,decelerate
73,14,-0.09,decelerate
85,89,0.18,decelerate
76,42,0.22,accelerate
58,42,-0.0,accelerate
99,98,-0.06,accelerate
84,52,-0.02,decelerate
80,50,-0.14,maintain
47,65,0.05,accelerate
72,26,-0.14,maintain
65,58,-0.15,maintain
85,46,0.17,decelerate
87,24,-0.23,decelerate
98,55,-0.24,decelerate
66,11,-0.28,accelerate
62,26,0.15,decelerate
65,18,0.17,maintain
92,67,-0.29,decelerate
55,7,0.27,maintain
43,87,-0.23,accelerate
82,56,0.25,decelerate
63,81,-0.03,maintain
67,69,0.15,decelerate
75,40,0.04,accelerate
61,7,0.13,decelerate
80,84,0.26,decelerate
57,7,0.12,accelerate
72,28,-0.19,accelerate
42,25,0.18,decelerate
91,81,0.21,maintain
98,67,0.28,accelerate
58,58,-0.15,decelerate
82,51,0.25,maintain
69,15,-0.27,maintain
44,42,0.28,decelerate
90,61,0.29,maintain
72,87,-0.25,decelerate
60,38,0.19,accelerate
49,35,-0.11,decelerate
65,66,-0.02,decelerate
72,35,0.14,decelerate
46,64,-0.07,decelerate
41,84,0.12,accelerate
100,79,-0.02,decelerate
92,22,-0.02,maintain
99,53,0.02,decelerate
45,78,-0.11,maintain
88,40,0.24,accelerate
88,52,0.22,accelerate
72,48,0.07,maintain
89,28,0.0,decelerate
51,52,-0.27,accelerate
86,22,-0.01,maintain
81,47,-0.1,maintain
40,66,-0.1,accelerate
71,29,-0.05,maintain
90,24,-0.1,accelerate
44,8,0.19,decelerate
91,42,0.25,maintain
69,33,-0.3,accelerate
92,26,0.03,maintain
79,92,0.03,accelerate
58,11,0.13,decelerate
69,71,0.14,decelerate
74,65,0.11,decelerate
87,16,-0.23,accelerate
41,77,-0.21,maintain
79,10,-0.17,maintain
58,70,-0.02,accelerate
60,35,0.19,decelerate
82,79,-0.17,decelerate
84,43,-0.06,maintain
72,21,0.2,maintain
46,93,0.1,maintain
74,50,-0.02,decelerate
77,52,-0.23,decelerate
83,67,0.26,accelerate
100,9,0.16,accelerate
62,67,-0.09,maintain
62,7,-0.01,decelerate
64,50,-0.14,decelerate
42,69,0.29,decelerate
91,100,-0.29,maintain
41,86,-0.17,decelerate
58,8,-0.28,maintain
86,20,0.18,accelerate
96,57,-0.28,decelerate
71,28,-0.06,maintain
61,47,-0.18,maintain
78,95,0.2,decelerate
57,39,-0.28,maintain
76,9,0.24,accelerate
73,55,0.08,decelerate
87,90,0.21,maintain
78,85,0.11,decelerate
62,19,-0.21,maintain
68,70,0.01,decelerate
56,44,0.11,accelerate
52,26,0.27,accelerate
98,51,-0.09,decelerate
43,94,-0.22,accelerate
51,82,-0.11,decelerate
48,27,0.01,decelerate
74,55,0.0,accelerate
82,18,0.03,decelerate
48,75,0.05,decelerate
52,63,0.29,maintain
44,38,0.11,maintain
76,74,-0.16,maintain
92,6,0.22,decelerate
51,19,-0.16,accelerate
47,97,0.18,maintain
56,71,0.04,accelerate
